_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
7511,CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,SACRAMENTO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,200,,200,,2,,,,2,,#N/A,8/24/2015,WALNUT GROVE,,#N/A,,#N/A
7512,CA3400166,WALNUT GROVE MARINA,SACRAMENTO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,15,,,,15,,#N/A,10/12/2016,WALNUT GROVE,,#N/A,,#N/A
7513,CA4000670,WALNUT HILLS MUTUAL WATER CO,SAN LUIS OBISPO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,486,,,486,,26,,,,26,SC   ,Small Community,5/4/2015,PASO ROBLES,,#N/A,D1   ,Distribution Operator Level 1
7514,CA1910169,WALNUT PARK MUTUAL WATER CO.,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,16180,,,16215,1,,10,,2821,2832,DAVCL,Disadvantaged Large Community Water System,9/7/2016,HUNTINGTON PARK,TD   ,Treatment or distribution operator of any grade,D3   ,Distribution Operator Level 3
7515,CA1910234,WALNUT VALLEY WATER DISTRICT,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,103340,,,103340,378,,923,163,25404,26868,C1   ,Large Water System,5/20/2015,WALNUT,,#N/A,D5   ,Distribution Operator Level 5
7516,CA1300654,WALTERS CAMP RV PARK,IMPERIAL,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,50,,,,50,N1   ,Transient-Noncommunity Water System,4/21/2016,PALO VERDE,,#N/A,NR   ,Not Required
7517,CA3301736,WALTERS WATER COMPANY,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,10,,,,10,XS   ,State Small Water System,,CORONA,,#N/A,,#N/A
7518,CA3200051,WALTONS GRIZZLY LODGE,PLUMAS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,17,,,,17,N1   ,Transient-Noncommunity Water System,6/18/2013,PORTOLA,T1   ,Treatment Operator Level 1,,#N/A
7519,CA2210920,WAMPUM HILL TRAILER VILLAGE,MARIPOSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,62,62,,35,,,,35,N1   ,Transient-Noncommunity Water System,9/29/2016,GREELEY HILL,,#N/A,NR   ,Not Required
7520,CA3110031,WARD WELL WATER COMPANY,PLACER,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,375,,,375,,224,,,,224,SC   ,Small Community,7/9/2013,TAHOE CITY,,#N/A,D1   ,Distribution Operator Level 1
7521,CA0600001,WARD'S BOAT LANDING,COLUSA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,12/21/2016,COLUSA,,#N/A,NR   ,Not Required
7522,CA1600604,WARMERDAM PACKING LP,KINGS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,5,,,,5,N1   ,Transient-Noncommunity Water System,6/14/2017,HANFORD,,#N/A,NR   ,Not Required
7523,CA3702354,WARNER SPRINGS ESTATES,SAN DIEGO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,435,,,435,,,,,307,307,SC   ,Small Community,12/8/2015,WARNER SPRINGS,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7524,CA3700959,WARNER SPRINGS RANCH RESORT LLC,SAN DIEGO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,40,,40,,8,,,,8,N1   ,Transient-Noncommunity Water System,8/20/2013,,,#N/A,D1   ,Distribution Operator Level 1
7525,CA3701010,WARNER UNIFIED SCHOOL DISTRICT,SAN DIEGO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,250,,250,,15,,,,15,SP   ,NonTransient-NonCommunity Water System,12/22/2015,WARNER SPRINGS,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7526,CA2000507,WARNOCK FOOD PRODUCTS #2,MADERA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,145,,145,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,6/26/2013,MADERA,,#N/A,D1   ,Distribution Operator Level 1
7527,CA5610021,WARRING WATER SERVICE INC,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,2100,,,2100,,532,,,,532,SC   ,Small Community,4/14/2016,PIRU,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
7528,CA1510801,WASCO ST. PRISON RECEPTION CTR,KERN,C,Community,C   ,Community,A,ACTIVE,S,State Government,GW ,Groundwater,5064,,,5064,,1768,,,,1768,C1   ,Large Water System,7/27/2016,WASCO,,#N/A,D2   ,Distribution Operator Level 2
7529,CA1510021,"WASCO, CITY OF",KERN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,22690,,,22690,,4872,,,,4872,C1   ,Large Water System,8/5/2015,WASCO,,#N/A,D3   ,Distribution Operator Level 3
7530,CA2701221,WASHINGTON  SCHOOL WS,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,250,,250,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,6/2/2016,SALINAS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7531,CA1000285,WASHINGTON COLONY SCHOOL,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,550,,550,,12,,,,12,SP   ,NonTransient-NonCommunity Water System,12/14/2015,FRESNO,,#N/A,D1   ,Distribution Operator Level 1
7532,CA2910013,WASHINGTON RIDGE C.C.,NEVADA,C,Community,C   ,Community,A,ACTIVE,S,State Government,GW ,Groundwater,100,,,100,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,10/20/2017,NEVADA CITY,,#N/A,,#N/A
7533,CA2400071,WASHINGTON SCHOOL,MERCED,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,190,,190,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,10/17/2014,WINTON,,#N/A,D1   ,Distribution Operator Level 1
7534,CA1000221,WASHINGTON UNION HIGH SCHOOL,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,1000,,1000,,23,,,,23,SP   ,NonTransient-NonCommunity Water System,12/14/2015,FRESNO,,#N/A,D1   ,Distribution Operator Level 1
7535,CA2900523,WASHINGTON WATER DISTRICT,NEVADA,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,330,,,330,,113,,,,113,SC   ,Small Community,6/7/2017,WASHINGTON,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7536,CA3103309,WASHOE HEIGHTS WATER ASSOCIATION,PLACER,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,20,20,,14,,,,14,XS   ,State Small Water System,10/26/2010,TAHOE CITY,,#N/A,,#N/A
7537,CA4900033,WASHOE HOUSE,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,75,75,,2,,,,2,N1   ,Transient-Noncommunity Water System,3/14/2016,PETALUMA,T1   ,Treatment Operator Level 1,NR   ,Not Required
7538,CA1907032,WASTE MANAGEMENT OF LANCASTER,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,147,,147,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,7/19/2016,,,#N/A,D1   ,Distribution Operator Level 1
7539,CA2000616,WASUMA SCHOOL,MADERA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,307,,307,,5,,,,5,,#N/A,6/26/2013,AHWAHNEE,,#N/A,D1   ,Distribution Operator Level 1
7540,CA3610006,WATER FACILITIES AUTHORITY-JPA,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,,,,480000,,,,,,,WH   ,Wholesaler,1/30/2012,UPLAND,T5   ,Treatment Operator Level 5,D4   ,Distribution Operator Level 4
7541,CA5010026,WATERFORD - HICKMAN,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,565,,,565,,181,,,,181,SC   ,Small Community,4/27/2017,WATERFORD,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7542,CA5000571,WATERFORD SPORTSMEN'S CLUB,STANISLAUS,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,40,,,,40,N1   ,Transient-Noncommunity Water System,2/27/2014,WATERFORD,,#N/A,NR   ,Not Required
7543,CA5010042,WATERFORD-RIVER POINTE,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,1046,,,1046,,319,,,,319,SC   ,Small Community,4/27/2017,WATERFORD,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7544,CA3901252,WATERLOO CALIFORNIA RESTAURANT,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,2/28/2017,STOCKTON,,#N/A,NR   ,Not Required
7545,CA3901253,WATERLOO GUN & BOCCE CLUB,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,1,,,,1,N1   ,Transient-Noncommunity Water System,11/26/2014,STOCKTON,,#N/A,NR   ,Not Required
7546,CA5402046,WATERMAN INDUSTRIES LLC,TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,127,,127,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,5/18/2016,EXETER,,#N/A,D1   ,Distribution Operator Level 1
7547,CA5602132,WATERS ROAD DOMESTIC USERS GROUP,VENTURA,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,25,,,25,,18,,,,18,SC   ,Small Community,2/19/2016,MOORPARK,,#N/A,D1   ,Distribution Operator Level 1
7548,CA2700518,WATSONVILLE PRODUCE INC,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,100,,100,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,7/6/2016,MOSS LANDING,,#N/A,D1   ,Distribution Operator Level 1
7549,CA4410011,"WATSONVILLE, CITY OF",SANTA CRUZ,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,65739,,,65739,,14328,,,,14328,DAVCL,Disadvantaged Large Community Water System,9/27/2016,WATSONVILLE,T3   ,Treatment Operator Level 3,D4   ,Distribution Operator Level 4
7550,CA5400795,WAUKENA ELEMENTARY SCHOOL,TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,245,,245,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,8/31/2015,TULARE,,#N/A,D1   ,Distribution Operator Level 1
7551,CA5402030,WAUKENA MARKET,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,2,,,,2,N1   ,Transient-Noncommunity Water System,3/23/2016,WAUKENA,,#N/A,,#N/A
7552,CA5403145,WAWONA PACKING COMPANY LLC,TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,1000,,1000,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,3/16/2018,CUTLER,,#N/A,D1   ,Distribution Operator Level 1
7553,CA4900792,WAYSIDE GARDENS MOBILE HOME PARK,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,50,,,,50,SC   ,Small Community,10/10/2012,SANTA ROSA,,#N/A,D1   ,Distribution Operator Level 1
7554,CA3900835,WAYSIDE MOTEL APARTMENTS WTR SYS,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,70,,,70,,22,,,,22,SC   ,Small Community,6/8/2016,LODI,,#N/A,D1   ,Distribution Operator Level 1
7555,CA2702527,WAYSTATION SALOON WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,,#N/A,10/20/2017,BRADLEY,,#N/A,,#N/A
7556,CA1503292,"WEATHERFORD U.S., L.P.",KERN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,0,5,0,,5,SP   ,NonTransient-NonCommunity Water System,6/16/2016,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
7557,CA5310001,WEAVERVILLE C.S.D.,TRINITY,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,3554,,,3554,,1632,,,,1632,DAVCL,Disadvantaged Large Community Water System,12/12/2017,WEAVERVILLE,T3   ,Treatment Operator Level 3,D2   ,Distribution Operator Level 2
7558,CA4700663,"WEED GOLF CLUB, INC.",SISKIYOU,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,110,110,,1,,,,1,N1   ,Transient-Noncommunity Water System,3/26/2015,WEED,,#N/A,NR   ,Not Required
7559,CA4710009,"WEED, CITY OF",SISKIYOU,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,2963,,,2963,,1110,,,,1110,DAVCL,Disadvantaged Large Community Water System,5/18/2017,WEED,,#N/A,D2   ,Distribution Operator Level 2
7560,CA1503642,WEEKS ROSES WATER SYSTEM,KERN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,0,0,1,,1,SP   ,NonTransient-NonCommunity Water System,3/11/2015,WASCO,,#N/A,D1   ,Distribution Operator Level 1
7561,CA3601081,WEESHA COUNTRY CLUB INC,SAN BERNARDINO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,,,15,15,,13,,,,13,XS   ,State Small Water System,11/6/2014,ANGELUS OAKS,,#N/A,,#N/A
7562,CA1502600,WEGIS MUTUAL WATER COMPANY,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,51,,,51,,23,,,,23,SC   ,Small Community,11/19/2015,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
7563,CA3110035,WEIMAR WATER COMPANY,PLACER,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,1500,,,2580,,565,,,6,571,SC   ,Small Community,11/18/2015,WEIMAR,T3   ,Treatment Operator Level 3,D2   ,Distribution Operator Level 2
7564,CA2800583,WELCOME GRANGE HALL,NAPA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,1,,,,1,,#N/A,3/13/2017,NAPA,,#N/A,NR   ,Not Required
7565,CA1300574,WELL TRAILER PARK THE,IMPERIAL,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,30,30,,30,,,,30,N1   ,Transient-Noncommunity Water System,1/25/2017,WINTERHAVEN,,#N/A,NR   ,Not Required
7566,CA5602516,WELL-PICT BERRIES WS,VENTURA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,11/22/2013,OXNARD,,#N/A,D1   ,Distribution Operator Level 1
7567,CA0901249,WENCH CREEK CAMPGROUND,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,250,250,,102,,,,102,N1   ,Transient-Noncommunity Water System,7/15/2013,PLACERVILLE,,#N/A,NR   ,Not Required
7568,CA4900669,WENDELL LANE MUTUAL WATER COMPANY,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,70,,,70,,25,,,,25,SC   ,Small Community,12/15/2015,SEBASTOPOL,,#N/A,D1   ,Distribution Operator Level 1
7569,CA2300842,WENTE SCOUT RESERVATION,MENDOCINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,4,,420,424,,,,1,9,10,N1   ,Transient-Noncommunity Water System,2/26/2014,WILLITS,,#N/A,NR   ,Not Required
7570,CA1200553,WEOTT C.S.D.,HUMBOLDT,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,364,,,364,,128,,,,128,SC   ,Small Community,11/3/2015,WEOTT,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7571,CA5400526,"WESPAK, INC.",TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,253,,253,,6,,,,6,SP   ,NonTransient-NonCommunity Water System,10/5/2016,DINUBA,,#N/A,D1   ,Distribution Operator Level 1
7572,CA3902187,WEST 11TH STREET CHEVRON WATER SYSTEM,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,,#N/A,5/30/2014,,,#N/A,NR   ,Not Required
7573,CA3210007,WEST ALMANOR M.W.C.,PLUMAS,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,500,,,500,,489,,,,489,SC   ,Small Community,5/19/2016,CHESTER,,#N/A,D1   ,Distribution Operator Level 1
7574,CA3200610,WEST ALMANOR WATER ASSOCIATION,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,4/11/1995,ALMANOR,,#N/A,,#N/A
7575,CA4500247,WEST COTTONWOOD APARTMENTS,SHASTA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,30,,,30,,0,,,17,17,,#N/A,12/20/2016,COTTONWOOD,,#N/A,D1   ,Distribution Operator Level 1
7576,CA3700875,WEST CUCA MUTUAL WATER COMPANY,SAN DIEGO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,23,23,,10,,,,10,XS   ,State Small Water System,,PAUMA VALLEY,,#N/A,NR   ,Not Required
7577,CA3610086,WEST END CONSOLIDATED WATER COMPANY,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,,,,76106,,,,,,,WH   ,Wholesaler,6/9/2014,UPLAND,TD   ,Treatment or distribution operator of any grade,D2   ,Distribution Operator Level 2
7578,CA3600345,WEST END MWC,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,63,,,63,,54,,,,54,SC   ,Small Community,3/28/2017,LUCERNE VALLEY,,#N/A,,#N/A
7579,CA3200173,WEST END WATER ASSOCIATION,PLUMAS,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,60,60,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/3/2011,BUCKS LAKE,,#N/A,NR   ,Not Required
7580,CA1510022,WEST KERN WATER DISTRICT,KERN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,22434,,,22434,,7955,,,,7955,C1   ,Large Water System,10/21/2015,TAFT,T2   ,Treatment Operator Level 2,D4   ,Distribution Operator Level 4
7581,CA3901329,WEST KINGDOM HALL OF JEHOVAH WITNES,SAN JOAQUIN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/10/2014,MANTECA,,#N/A,NR   ,Not Required
7582,CA3900624,WEST LANE MOBILE HOME PARK,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,160,,,160,,83,,,,83,SC   ,Small Community,10/16/2015,LODI,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7583,CA3310078,WEST PALM SPRINGS VILLAGE,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,471,,,471,,252,,,,252,SC   ,Small Community,12/14/2017,DESERT HOT SPRINGS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
7584,CA0800605,WEST PARK PROPERTIES,DEL NORTE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,112,,,112,,42,,,,42,SC   ,Small Community,5/9/2018,CRESCENT CITY,,#N/A,D1   ,Distribution Operator Level 1
7585,CA4300543,WEST SAN MARTIN WATER WORKS INC,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,1003,100,300,1403,7,,44,2,254,307,SC   ,Small Community,3/23/2017,SAN MARTIN,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7586,CA4900719,WEST SIDE UNION SCHOOL DISTRICT,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,200,,200,,5,,,,5,SP   ,NonTransient-NonCommunity Water System,6/20/2011,HEALDSBURG,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
7587,CA1000578,WEST TECH INDUSTRIAL PARK,FRESNO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,30,,30,,10,,,,10,SP   ,NonTransient-NonCommunity Water System,11/4/2014,KINGSBURG,,#N/A,D1   ,Distribution Operator Level 1
7588,CA1500340,WEST TEHACHAPI MUTUAL,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,150,,,150,,0,,,36,36,SC   ,Small Community,5/15/2018,TEHACHAPI,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7589,CA5700816,WEST VALLEY BAPTIST CHURCH,YOLO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,4,,,,4,,#N/A,5/27/2016,WOODLAND,,#N/A,D1   ,Distribution Operator Level 1
7590,CA1909006,WEST VALLEY COUNTY WATER DISTRICT,LOS ANGELES,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,736,,,736,,,,,223,223,SC   ,Small Community,3/16/2015,LANCASTER,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7591,CA4500214,WEST VALLEY HIGH SCHOOL,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,1100,,1100,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,3/1/2016,COTTONWOOD,,#N/A,D1   ,Distribution Operator Level 1
7592,CA1500550,WEST VALLEY MUTUAL WATER COMPANY,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,70,,,70,,0,,,41,41,SC   ,Small Community,12/17/2015,INYOKERN,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
7593,CA3610004,WEST VALLEY WATER DISTRICT,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,83218,,,83218,367,,629,70,19973,21039,C1   ,Large Water System,7/18/2017,RIALTO,T4   ,Treatment Operator Level 4,D5   ,Distribution Operator Level 5
7594,CA4900893,WEST WATER COMPANY (PUC),SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,40,,,40,,13,,,,13,SC   ,Small Community,2/20/2014,CLOVERDALE,,#N/A,D1   ,Distribution Operator Level 1
7595,CA4800812,WEST WIND WINERY,SOLANO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,1/14/2015,SUISUN CITY,,#N/A,NR   ,Not Required
7596,CA4110027,WESTBOROUGH COUNTY WATER DIST,SAN MATEO,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,14050,,,14050,92,,45,,3743,3880,C1   ,Large Water System,7/12/2017,SOUTH SAN FRANCISCO,,#N/A,D3   ,Distribution Operator Level 3
7597,CA4901096,WESTERBEKE RANCH,SONOMA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,45,,,,45,N1   ,Transient-Noncommunity Water System,10/24/2017,SONOMA,,#N/A,NR   ,Not Required
7598,CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,310,,,310,,90,,,,90,SC   ,Small Community,11/19/2015,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
7599,CA3610053,WESTERN HEIGHTS WATER COMPANY,SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,P,Private,SWP,Surface Water Purchased,7120,,,7120,,,156,,1934,2090,C1   ,Large Water System,4/9/2014,YUCAIPA,T1   ,Treatment Operator Level 1,D2   ,Distribution Operator Level 2
7600,CA5010039,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,846,,,846,,483,,,,483,C1   ,Large Water System,8/16/2017,PATTERSON,T3   ,Treatment Operator Level 3,D2   ,Distribution Operator Level 2
7601,CA5400623,WESTERN HOLIDAY LODGE,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,35,35,,3,,,,3,N1   ,Transient-Noncommunity Water System,4/30/2018,THREE RIVERS,,#N/A,NR   ,Not Required
7602,CA4900791,WESTERN MOBILE HOME PARK,SONOMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,225,,,225,,73,,,,73,SC   ,Small Community,3/30/2017,SANTA ROSA,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
